alpha,budget,budget_pct,seed,obs_gradient,allocation_ratio,error_base_tail,error_corr_tail,delta_tail,delta_bulk,effectiveness,audits_tail,audits_bulk
0.01,25,1.25,0,0.07314518524739666,1.4080075143828117,0.10778443113772455,0.10778443113772455,0.0,0.0,0.0,8,17
0.01,25,1.25,1,0.3406579380764163,1.0453720508165398,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,6,19
0.01,25,1.25,2,0.33642617206876646,1.2382612738259497,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,7,18
0.01,25,1.25,3,0.23968985499840467,1.332431823303869,0.36590038314176243,0.0,0.36590038314176243,0.12855209742895804,2.8463198203307307,8,17
0.01,25,1.25,4,0.263111027742572,1.112612612612473,0.41312741312741313,0.28957528957528955,0.12355212355212358,0.04655870445344129,2.65368473494161,7,18
0.01,25,1.25,5,0.15926897316096744,1.0453720508165398,0.2478448275862069,0.2478448275862069,0.0,0.0,0.0,6,19
0.01,25,1.25,6,0.1570266936407435,1.5968090211130452,0.2591170825335892,0.2591170825335892,0.0,0.0,0.0,9,16
0.01,25,1.25,7,0.23981868791413763,1.678535856573483,0.3605577689243028,0.3605577689243028,0.0,0.0,0.0,9,16
0.01,25,1.25,8,0.22078572518978423,1.6219660194172698,0.3650485436893204,0.3650485436893204,0.0,0.0,0.0,9,16
0.01,25,1.25,9,0.2377935888147188,1.9840954274351261,0.36779324055666,0.11530815109343936,0.2524850894632207,0.08550434201736806,2.952892019409324,10,15
0.01,50,2.5,0,0.07314518524739666,1.6830089820357046,0.10778443113772455,0.10778443113772455,0.0,0.0,0.0,18,32
0.01,50,2.5,1,0.3406579380764163,1.4187192118224468,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,15,35
0.01,50,2.5,2,0.33642617206876646,1.2382612738259497,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,14,36
0.01,50,2.5,3,0.23968985499840467,1.7353849956739908,0.36590038314176243,0.0,0.36590038314176243,0.12855209742895804,2.8463198203307307,19,31
0.01,50,2.5,4,0.263111027742572,1.112612612612473,0.41312741312741313,0.305019305019305,0.10810810810810811,0.05263157894736842,2.0540540501513513,14,36
0.01,50,2.5,5,0.15926897316096744,1.287356321838887,0.2478448275862069,0.2478448275862069,0.0,0.0,0.0,14,36
0.01,50,2.5,6,0.1570266936407435,1.8925143953932386,0.2591170825335892,0.2591170825335892,0.0,0.0,0.0,20,30
0.01,50,2.5,7,0.23981868791413763,1.9893758300130167,0.3605577689243028,0.3605577689243028,0.0,0.0,0.0,20,30
0.01,50,2.5,8,0.22078572518978423,1.7673034763543012,0.3650485436893204,0.3650485436893204,0.0,0.0,0.0,19,31
0.01,50,2.5,9,0.2377935888147188,2.155138136696775,0.36779324055666,0.36779324055666,0.0,0.0,0.0,21,29
0.01,100,5.0,0,0.07314518524739666,0.9973386560211583,0.10778443113772455,0.10778443113772455,0.0,0.0,0.0,25,75
0.01,100,5.0,1,0.3406579380764163,1.287356321838887,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,28,72
0.01,100,5.0,2,0.33642617206876646,1.3646144650326795,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,30,70
0.01,100,5.0,3,0.23968985499840467,1.5926724137929062,0.36590038314176243,0.0,0.36590038314176243,0.12855209742895804,2.8463198203307307,36,64
0.01,100,5.0,4,0.263111027742572,1.5405405405403467,0.41312741312741313,0.305019305019305,0.10810810810810811,0.05263157894736842,2.0540540501513513,35,65
0.01,100,5.0,5,0.15926897316096744,1.4187192118224468,0.2478448275862069,0.23706896551724138,0.010775862068965525,0.009765625,1.1034482645627595,30,70
0.01,100,5.0,6,0.1570266936407435,1.7398922667324939,0.2591170825335892,0.2591170825335892,0.0,0.0,0.0,38,62
0.01,100,5.0,7,0.23981868791413763,1.2788844621512252,0.3605577689243028,0.3605577689243028,0.0,0.0,0.0,30,70
0.01,100,5.0,8,0.22078572518978423,1.4202289523255696,0.3650485436893204,0.3650485436893204,0.0,0.0,0.0,33,67
0.01,100,5.0,9,0.2377935888147188,1.902780041064834,0.36779324055666,0.2524850894632207,0.11530815109343934,0.046092184368737465,2.5016855335127013,39,61
0.01,200,10.0,0,0.07314518524739666,1.1066360429823812,0.10778443113772455,0.25149700598802394,-0.14371257485029937,-0.04336224149432955,3.3142330799600352,54,146
